FID,Box,x,y,adj,Species,number,Grid ref,Lat,Lng,NEAR_FID,NEAR_DIST,Bearing
94,B187,447750,207960,0,G,187,SP4775007960,51.768288,-1.3094337,5735,16.44624852,320
95,B188,447735,207988,0,G,188,SP4773507988,51.768541,-1.3096472,5735,42.03002736,210
96,B189,447755,208030,0,G,189,SP4775508030,51.768917,-1.3093516,5737,5.807013547,80
97,B190,447787,208095,150,G,190,SP4778708095,51.769499,-1.308879,5743,18.27025674,110
98,B191,447744,208051,0,G,191,SP4774408051,51.769107,-1.3095082,5738,1.354457735,100
99,B192,447818,208065,150,G,192,SP4781808065,51.769227,-1.3084339,5745,4.812569469,220
100,B193,447814,207993,0,G,193,SP4781407993,51.76858,-1.3085018,5676,8.687832428,240
101,B194,447876,207961,180,G,194,SP4787607961,51.768287,-1.3076078,5672,3.506082125,270
102,B194A,447847,207943,180,G,0,SP4784707943,51.768127,-1.3080305,5672,32.28207176,340
103,B195,447789,207915,80,G,195,SP4778907915,51.76788,-1.3088747,5667,4.18982908,130
104,B196,447724,207847,0,G,196,SP4772407847,51.767275,-1.3098259,5669,4.122581406,330
105,B197,447741,207797,160,G,197,SP4774107797,51.766824,-1.3095865,5670,3.848968086,130
106,B198,447687,207768,170,G,198,SP4768707768,51.766568,-1.3103729,5671,15.3952967,320
107,B199,447652,207729,330,G,199,SP4765207729,51.76622,-1.3108854,5711,10.09340689,190
108,B2,447806,207532,280,G,2,SP4780607532,51.764436,-1.308681,5646,22.72178222,190
109,B20,447947,207758,170,G,20,SP4794707758,51.766455,-1.3066069,5613,23.60421282,340
110,B200,447682,207731,80,G,200,SP4768207731,51.766235,-1.3104504,5656,6.929482752,350
111,B201,447486,207827,160,G,201,SP4748607827,51.767115,-1.3132773,5731,20.33570013,70
112,B203,447662,207432,0,G,203,SP4766207432,51.763549,-1.3107811,5723,27.82549977,20
113,B204,447920,207755,270,G,204,SP4792007755,51.766431,-1.3069985,5616,14.0412565,90
114,B205,447878,207725,0,G,205,SP4787807725,51.766165,-1.3076112,5626,14.44185191,300
115,B206,447434,207667,0,G,206,SP4743407667,51.765681,-1.3140526,5708,27.84678847,120
116,B207,447531,207840,160,G,207,SP4753107840,51.767228,-1.3126235,5731,30.76040898,250
117,B208,447584,207818,330,G,208,SP4758407818,51.767026,-1.3118585,5732,76.19108532,310
118,B21,447973,207765,80,G,21,SP4797307765,51.766516,-1.3062292,5612,9.347041686,320
119,B211,447603,207705,0,G,211,SP4760307705,51.766008,-1.3115986,5684,53.32713117,195
120,B212,447520,207747,0,G,212,SP4752007747,51.766393,-1.3127955,5685,25.85587916,320
121,B213,447606,207766,0,G,213,SP4760607766,51.766556,-1.3115468,5711,56.95911446,350
